EmployeeId,Date,SwipeTime,SwipeType
EMP001,2025-09-01,09:05,IN
EMP001,2025-09-01,18:10,OUT
EMP001,2025-09-02,09:00,IN
EMP001,2025-09-02,17:45,OUT
EMP001,2025-09-03,09:10,IN
EMP001,2025-09-03,18:00,OUT
EMP001,2025-09-04,09:00,IN
EMP001,2025-09-04,17:50,OUT
EMP001,2025-09-08,09:15,IN
EMP001,2025-09-08,18:05,OUT
EMP001,2025-09-09,09:00,IN
EMP001,2025-09-09,17:40,OUT
EMP001,2025-09-10,09:05,IN
EMP001,2025-09-10,18:00,OUT
EMP001,2025-09-11,09:00,IN
EMP001,2025-09-11,17:45,OUT
EMP001,2025-09-12,09:10,IN
EMP001,2025-09-12,18:15,OUT
EMP001,2025-09-15,09:05,IN
EMP001,2025-09-15,18:10,OUT
EMP001,2025-09-16,09:00,IN
EMP001,2025-09-16,17:45,OUT
EMP001,2025-09-19,08:50,IN
EMP001,2025-09-19,17:30,OUT
